19;MATEC Web of Conferences
25;International Journal of Agricultural and Biological Engineering
31;Vegetable Crops Research Bulletin
33;Journal of Oil Palm Research
34;Journal of Food, Agriculture and Environment
40;Journal of Oil Palm Research
43;Agriculture (Switzerland)
45;Proceedings - 2017 10th International Conference on Human System Interactions, HSI 2017
46;Biosystems Engineering
52;Lecture Notes in Engineering and Computer Science
60;Journal of Food Measurement and Characterization
69;Journal of the Japanese Society for Horticultural Science
90;IEEE Sensors Journal
92;International Journal of Advanced Computer Science and Applications
93;Sensors (Switzerland)
98;Innovative Food Science and Emerging Technologies
106;International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)
108;International Journal of Recent Technology and Engineering
109;Proceedings of the 2021 5th World Conference on Smart Trends in Systems Security and Sustainability, WorldS4 2021
118;Journal of Physics: Conference Series
119;Journal of Magnetism and Magnetic Materials
124;International Journal of Agriculture and Biology
127;Journal of Agricultural and Food Chemistry
129;Proceedings of the 2018 IEEE 38th Central America and Panama Convention, CONCAPAN 2018
134;IEEE Transactions on Instrumentation and Measurement
138;2014 3rd International Congress of Engineering Mechatronics and Automation, CIIMA 2014 - Conference Proceedings
145;Journal of Food, Agriculture and Environment
154;Computers and Electronics in Agriculture
160;ICSECC 2019 - International Conference on Sustainable Engineering and Creative Computing: New Idea, New Innovation, Proceedings
168;Applied Sciences (Switzerland)
169;Acta Horticulturae
175;Postharvest Biology and Technology
184;2018 International Conference on Signals and Systems, ICSigSys 2018 - Proceedings
185;Acta Horticulturae
186;Journal of Food Measurement and Characterization
188;Journal of Theoretical and Applied Information Technology
211;Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering
215;Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering
